"","gemeinde_name","tooltip","total","gemeinde_nummer","gemeinde_d"
"1","Brunegg","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4193,"Brunegg"
"2","Hellikon","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4251,"Hellikon"
"3","Boniswil","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4192,"Boniswil"
"4","Zurzach","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4324,"Zurzach"
"5","Meisterschwanden","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4202,"Meisterschwanden"
"6","Möhlin","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4254,"Möhlin"
"7","Hendschiken","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4198,"Hendschiken"
"8","Hägglingen","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4068,"Hägglingen"
"9","Auenstein","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4091,"Auenstein"
"10","Wegenstetten","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4262,"Wegenstetten"
"11","Veltheim (AG)","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4120,"Veltheim AG"
"12","Obermumpf","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4256,"Obermumpf"
"13","Schlossrued","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4142,"Schlossrued"
"14","Schneisingen","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4318,"Schneisingen"
"15","Bözberg","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4124,"Bözberg"
"16","Wallbach","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4261,"Wallbach"
"17","Fahrwangen","$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Netzbetreiber$/th£$th£Total$/th£$th£Energie$/th£$th£Abgaben$/th£$th£Netznutzung$/th£$th£Netzzuschlag$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.89$/td£$td style='text-align:right@'£11.4$/td£$td style='text-align:right@'£0.76$/td£$td style='text-align:right@'£12.23$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£",27.89,4196,"Fahrwangen"
