"","gemeinde_nummer","gemeinde_name_x","total_2026","gemeinde_name_y","total_2025","diff","pourc_diff","abs_pourc_diff"
"1",4193,"Brunegg",27.89,"Brunegg",29.93,2.04,6.82,6.82
"2",4251,"Hellikon",27.89,"Hellikon",29.93,2.04,6.82,6.82
"3",4192,"Boniswil",27.89,"Boniswil",29.93,2.04,6.82,6.82
"4",4324,"Zurzach",27.89,"Zurzach",27.95,0.06,0.21,0.21
"5",4202,"Meisterschwanden",27.89,"Meisterschwanden",29.93,2.04,6.82,6.82
"6",4254,"Möhlin",27.89,"Möhlin",29.93,2.04,6.82,6.82
"7",4198,"Hendschiken",27.89,"Hendschiken",29.93,2.04,6.82,6.82
"8",4068,"Hägglingen",27.89,"Hägglingen",29.93,2.04,6.82,6.82
"9",4091,"Auenstein",27.89,"Auenstein",29.93,2.04,6.82,6.82
"10",4262,"Wegenstetten",27.89,"Wegenstetten",29.93,2.04,6.82,6.82
"11",4120,"Veltheim (AG)",27.89,"Veltheim (AG)",29.93,2.04,6.82,6.82
"12",4256,"Obermumpf",27.89,"Obermumpf",29.93,2.04,6.82,6.82
"13",4142,"Schlossrued",27.89,"Schlossrued",29.93,2.04,6.82,6.82
"14",4318,"Schneisingen",27.89,"Schneisingen",29.93,2.04,6.82,6.82
"15",4124,"Bözberg",27.89,"Bözberg",29.93,2.04,6.82,6.82
"16",4261,"Wallbach",27.89,"Wallbach",29.93,2.04,6.82,6.82
"17",4196,"Fahrwangen",27.89,"Fahrwangen",29.93,2.04,6.82,6.82
"18",4305,"Endingen",27.89,"Endingen",29.93,2.04,6.82,6.82
"19",4076,"Sarmenstorf",27.89,"Sarmenstorf",29.93,2.04,6.82,6.82
"20",4112,"Rüfenach",27.89,"Rüfenach",28.85,0.96,3.33,3.33
"21",4320,"Tegerfelden",27.89,"Tegerfelden",29.93,2.04,6.82,6.82
"22",4240,"Waltenschwil",27.89,"Waltenschwil",29.93,2.04,6.82,6.82
"23",4140,"Oberkulm",27.89,"Oberkulm",29.93,2.04,6.82,6.82
"24",4264,"Zuzgen",27.89,"Zuzgen",29.93,2.04,6.82,6.82
"25",4137,"Leimbach (AG)",27.89,"Leimbach (AG)",29.93,2.04,6.82,6.82
"26",4260,"Stein (AG)",27.89,"Stein (AG)",29.93,2.04,6.82,6.82
"27",4283,"Safenwil",27.89,"Safenwil",29.93,2.04,6.82,6.82
"28",4138,"Leutwil",27.78,"Leutwil",29.93,2.15,7.18,7.18
"29",4313,"Leuggern",27.89,"Leuggern",30.44,2.54,8.34,8.34
"30",4065,"Dottikon",27.89,"Dottikon",31.55,3.65,11.57,11.57
"31",4191,"Ammerswil",27.89,"Ammerswil",29.93,2.04,6.82,6.82
"32",4306,"Fisibach",27.89,"Fisibach",29.93,2.04,6.82,6.82
"33",4175,"Oeschgen",27.89,"Oeschgen",29.93,2.04,6.82,6.82
"34",4286,"Uerkheim",27.89,"Uerkheim",29.93,2.04,6.82,6.82
"35",4023,"Bergdietikon",27.89,"Bergdietikon",29.93,2.04,6.82,6.82
"36",4274,"Brittnau",27.89,"Brittnau",29.93,2.04,6.82,6.82
"37",4199,"Holderbank (AG)",27.89,"Holderbank (AG)",29.93,2.04,6.82,6.82
